Question,FirstAnswer,SecondAnswer,ThirdAnswer,CorrectAnswer
¿Cuál es la principal causa de mortalidad en el PGP?,Enf. pulmonares,Tumores malignos,Gripe y neumonía,Enf. cardiacas
¿Cuántos casos de tuberculosis se notificaron en el PGP en el año 2016?,76,92,135,160
¿Cuántos establecimientos de Salud hay en la ciudad?,37,45,53,58
¿Cuántas camas en establecimientos de salud hay en el PGP?,1456,1867,1745,1624
¿Cuántos médicos hay en Mar del Plata cada 1000 habitantes?,Sat Feb 03 2018 00:00:00 GMT-0300 (ART),Thu Jul 05 2018 00:00:00 GMT-0300 (ART),Tue Mar 06 2018 00:00:00 GMT-0300 (ART),Mon Jun 04 2018 00:00:00 GMT-0300 (ART)
¿Cuántos odontólogos hay en Mar del Plata cada 1000 habitantes?,2.83,2.32,1.91,Sat Dec 01 2018 00:00:00 GMT-0300 (ART)
¿Cuántos psicólogos hay en Mar del Plata cada 1000 habitantes?,Mon Feb 05 2018 00:00:00 GMT-0300 (ART),Sun Mar 04 2018 00:00:00 GMT-0300 (ART),Wed Jan 03 2018 00:00:00 GMT-0300 (ART),Sat Jun 02 2018 00:00:00 GMT-0300 (ART)
¿Cuál es el número de línea de servicio gratuito de recepción de consultas telefónicas vinculadas a la violencia de género?,103,106,110,108
¿Cuántos hospitales públicos provinciales tiene el PGP?,1,3,4,2
¿Cuántos Centros Municipales de atención primaria tiene el PGP?,28,31,38,35
¿Cuántos establecimientos municipales con internación existen en el PGP?,3,7,12,0
