Question,FirstAnswer,SecondAnswer,ThirdAnswer,CorrectAnswer
¿Cuántas localidades forman parte del Partido de General Pueyrredón?,6,9,12,10
¿Qué porcentaje de la población del país representa la ciudad?,0.74%,2.75%,2.05%,1.4%
En relación a su población ¿Que puesto ocupa el PGP de los 135 partidos de Provincia de Bs As?,15°,8°,12°,3°
¿Cuántos barrios hay en la ciudad?,56,78,112,98
¿Cuál es la esperanza de vida al nacer de los marplatenses?,72.3 años,82.5 años,80.3 años,78.2 años
¿Qué porcentaje de la población de la Provincia de Buenos Aires representa la población marplatense?,2.55%,3.10%,4.25%,3.63%
¿Qué porcentaje de hogares unipersonales o con dos miembros tiene el PGP?,38.9%,43.1%,56.5%,50.7%
¿Cuántos hombres hay cada 10 mujeres en el PGP?,7,10,11,9
¿Cuántos arroyos pasan por el Partido de General Pueyrredon?,8,10,13,15
De los arroyos que pasan por la ciudad ¿Cuántos estan sin entubar?,1,4,7,2
